protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective
S2,ipi=0.10_m=1.00,5.700000,,1.00,3.308329,0.666747,44.016058,true,true,114,0.564389
S2,ipi=0.10_m=1.00,5.800000,,1.00,3.308329,0.669567,44.716064,true,true,116,0.566776
S2,ipi=0.10_m=1.00,5.900000,,1.00,3.308329,0.672345,45.413740,true,true,118,0.569127
S2,ipi=0.10_m=1.00,6.000000,,1.00,3.308329,0.675080,46.109095,true,true,120,0.571443
S2,ipi=0.20_m=0.50,0.100000,,0.50,0.937808,0.063486,0.423241,true,true,2,0.053740
S2,ipi=0.20_m=0.50,0.300000,,0.50,1.419294,0.108093,0.845073,true,true,4,0.091499
S2,ipi=0.20_m=0.50,0.500000,,0.50,1.666498,0.142501,1.265502,true,true,6,0.120625
S2,ipi=0.20_m=0.50,0.700000,,0.50,1.793416,0.170524,1.684531,true,true,8,0.144346
S2,ipi=0.20_m=0.50,0.900000,,0.50,1.858578,0.194173,2.102167,true,true,10,0.164364
S2,ipi=0.20_m=0.50,1.100000,,0.50,1.892034,0.214638,2.518412,true,true,12,0.181687
S2,ipi=0.20_m=0.50,1.300000,,0.50,1.909210,0.232682,2.933272,true,true,14,0.196961
S2,ipi=0.20_m=0.50,1.500000,,0.50,1.918029,0.248823,3.346752,true,true,16,0.210624
S2,ipi=0.20_m=0.50,1.700000,,0.50,1.922557,0.263428,3.758855,true,true,18,0.222987
S2,ipi=0.20_m=0.50,1.900000,,0.50,1.924881,0.276769,4.169587,true,true,20,0.234280
S2,ipi=0.20_m=0.50,2.100000,,0.50,1.926075,0.289050,4.578953,true,true,22,0.244675
S2,ipi=0.20_m=0.50,2.300000,,0.50,1.926688,0.300429,4.986956,true,true,24,0.254308
S2,ipi=0.20_m=0.50,2.500000,,0.50,1.927002,0.311033,5.393601,true,true,26,0.263284
S2,ipi=0.20_m=0.50,2.700000,,0.50,1.927164,0.320963,5.798893,true,true,28,0.271689
S2,ipi=0.20_m=0.50,2.900000,,0.50,1.927247,0.330301,6.202837,true,true,30,0.279594
S2,ipi=0.20_m=0.50,3.100000,,0.50,1.927289,0.339115,6.605436,true,true,32,0.287055
S2,ipi=0.20_m=0.50,3.300000,,0.50,1.927311,0.347462,7.006695,true,true,34,0.294120
S2,ipi=0.20_m=0.50,3.500000,,0.50,1.927322,0.355391,7.406619,true,true,36,0.300832
S2,ipi=0.20_m=0.50,3.700000,,0.50,1.927328,0.362943,7.805213,true,true,38,0.307225
