protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective,dw
S8,m=-0.5|ltd,9.900000,,-0.5,1.927334,0.418431,26.946978,true,true,100,0.354194,-0.002299
S8,m=-0.5|ltd,10.100000,,-0.5,1.927334,0.416160,27.280545,true,true,102,0.352272,-0.002272
S8,m=-0.5|ltd,10.300000,,-0.5,1.927334,0.413915,27.613002,true,true,104,0.350371,-0.002245
S8,m=-0.5|ltd,10.500000,,-0.5,1.927334,0.411696,27.944353,true,true,106,0.348493,-0.002219
S8,m=-0.5|ltd,10.700000,,-0.5,1.927334,0.409503,28.274601,true,true,108,0.346636,-0.002193
S8,m=-0.5|ltd,10.900000,,-0.5,1.927334,0.407334,28.603750,true,true,110,0.344801,-0.002169
S8,m=-0.5|ltd,11.100000,,-0.5,1.927334,0.405189,28.931804,true,true,112,0.342985,-0.002145
S8,m=-0.5|ltd,11.300000,,-0.5,1.927334,0.403068,29.258766,true,true,114,0.341190,-0.002121
S8,m=-0.5|ltd,11.500000,,-0.5,1.927334,0.400970,29.584640,true,true,116,0.339414,-0.002098
S8,m=-0.5|ltd,11.700000,,-0.5,1.927334,0.398895,29.909430,true,true,118,0.337657,-0.002076
S8,m=-0.5|ltd,11.900000,,-0.5,1.927334,0.396841,30.233138,true,true,120,0.335918,-0.002054
S8,m=-1.0|form,0.100000,,1.0,0.937808,0.126972,0.846482,true,true,2,0.107480,0.126972
S8,m=-1.0|form,0.300000,,1.0,1.419294,0.195737,1.690147,true,true,4,0.165688,0.068764
S8,m=-1.0|form,0.500000,,1.0,1.666498,0.242936,2.531004,true,true,6,0.205641,0.047199
S8,m=-1.0|form,0.700000,,1.0,1.793416,0.278895,3.369063,true,true,8,0.236079,0.035959
S8,m=-1.0|form,0.900000,,1.0,1.858578,0.307957,4.204333,true,true,10,0.260680,0.029062
S8,m=-1.0|form,1.100000,,1.0,1.892034,0.332354,5.036824,true,true,12,0.281332,0.024397
S8,m=-1.0|form,1.300000,,1.0,1.909210,0.353387,5.866544,true,true,14,0.299136,0.021033
S8,m=-1.0|form,1.500000,,1.0,1.918029,0.371878,6.693503,true,true,16,0.314788,0.018491
S8,m=-1.0|form,1.700000,,1.0,1.922557,0.388382,7.517710,true,true,18,0.328758,0.016504
S8,m=-1.0|form,1.900000,,1.0,1.924881,0.403289,8.339175,true,true,20,0.341377,0.014907
S8,m=-1.0|form,2.100000,,1.0,1.926075,0.416885,9.157905,true,true,22,0.352885,0.013596
S8,m=-1.0|form,2.300000,,1.0,1.926688,0.429385,9.973912,true,true,24,0.363466,0.012500
S8,m=-1.0|form,2.500000,,1.0,1.927002,0.440955,10.787202,true,true,26,0.373260,0.011570
S8,m=-1.0|form,2.700000,,1.0,1.927164,0.451727,11.597787,true,true,28,0.382379,0.010772
S8,m=-1.0|form,2.900000,,1.0,1.927247,0.461806,12.405673,true,true,30,0.390910,0.010079
S8,m=-1.0|form,3.100000,,1.0,1.927289,0.471277,13.210872,true,true,32,0.398928,0.009472
S8,m=-1.0|form,3.300000,,1.0,1.927311,0.480212,14.013391,true,true,34,0.406491,0.008935
S8,m=-1.0|form,3.500000,,1.0,1.927322,0.488670,14.813239,true,true,36,0.413650,0.008457
S8,m=-1.0|form,3.700000,,1.0,1.927328,0.496699,15.610425,true,true,38,0.420447,0.008029
S8,m=-1.0|form,3.900000,,1.0,1.927331,0.504343,16.404959,true,true,40,0.426917,0.007644
S8,m=-1.0|ltd,4.100000,,-1.0,1.927333,0.497048,17.196848,true,true,42,0.420742,-0.007295
S8,m=-1.0|ltd,4.300000,,-1.0,1.927333,0.490070,17.986103,true,true,44,0.414836,-0.006978
S8,m=-1.0|ltd,4.500000,,-1.0,1.927334,0.483383,18.772731,true,true,46,0.409175,-0.006688
S8,m=-1.0|ltd,4.700000,,-1.0,1.927334,0.476961,19.556741,true,true,48,0.403739,-0.006422
S8,m=-1.0|ltd,4.900000,,-1.0,1.927334,0.470784,20.338142,true,true,50,0.398510,-0.006177
S8,m=-1.0|ltd,5.100000,,-1.0,1.927334,0.464834,21.116943,true,true,52,0.393473,-0.005950
S8,m=-1.0|ltd,5.300000,,-1.0,1.927334,0.459093,21.893152,true,true,54,0.388614,-0.005741
S8,m=-1.0|ltd,5.500000,,-1.0,1.927334,0.453547,22.666778,true,true,56,0.383919,-0.005546
S8,m=-1.0|ltd,5.700000,,-1.0,1.927334,0.448182,23.437829,true,true,58,0.379378,-0.005365
S8,m=-1.0|ltd,5.900000,,-1.0,1.927334,0.442986,24.206315,true,true,60,0.374980,-0.005196
S8,m=-1.0|ltd,6.100000,,-1.0,1.927334,0.437949,24.972243,true,true,62,0.370716,-0.005037
