protocol,case_id,t,input,teacher,a,w,c,fired,active,firedCount,effective,dw,etaEff
S4,meta,54.700000,,1.0,1.927334,0.958442,152.319444,true,true,548,0.811304,0.000830,0.000981
S4,meta,54.900000,,1.0,1.927334,0.959271,152.659039,true,true,550,0.812005,0.000828,0.000978
S4,meta,55.100000,,1.0,1.927334,0.960097,152.997505,true,true,552,0.812704,0.000826,0.000976
S4,meta,55.300000,,1.0,1.927334,0.960921,153.334844,true,true,554,0.813402,0.000825,0.000974
S4,meta,55.500000,,1.0,1.927334,0.961744,153.671060,true,true,556,0.814099,0.000823,0.000972
S4,meta,55.700000,,1.0,1.927334,0.962565,154.006158,true,true,558,0.814794,0.000821,0.000970
S4,meta,55.900000,,1.0,1.927334,0.963384,154.340140,true,true,560,0.815487,0.000819,0.000968
S4,meta,56.100000,,1.0,1.927334,0.964202,154.673011,true,true,562,0.816179,0.000817,0.000966
S4,meta,56.300000,,1.0,1.927334,0.965017,155.004775,true,true,564,0.816869,0.000816,0.000964
S4,meta,56.500000,,1.0,1.927334,0.965831,155.335434,true,true,566,0.817558,0.000814,0.000962
S4,meta,56.700000,,1.0,1.927334,0.966643,155.664993,true,true,568,0.818246,0.000812,0.000959
S4,meta,56.900000,,1.0,1.927334,0.967454,155.993455,true,true,570,0.818932,0.000810,0.000957
S4,meta,57.100000,,1.0,1.927334,0.968263,156.320825,true,true,572,0.819617,0.000809,0.000955
S4,meta,57.300000,,1.0,1.927334,0.969070,156.647104,true,true,574,0.820300,0.000807,0.000953
S4,meta,57.500000,,1.0,1.927334,0.969875,156.972298,true,true,576,0.820981,0.000805,0.000951
S4,meta,57.700000,,1.0,1.927334,0.970679,157.296410,true,true,578,0.821662,0.000804,0.000950
S4,meta,57.900000,,1.0,1.927334,0.971481,157.619443,true,true,580,0.822341,0.000802,0.000948
S4,meta,58.100000,,1.0,1.927334,0.972281,157.941402,true,true,582,0.823018,0.000800,0.000946
S4,meta,58.300000,,1.0,1.927334,0.973080,158.262289,true,true,584,0.823695,0.000799,0.000944
S4,meta,58.500000,,1.0,1.927334,0.973878,158.582108,true,true,586,0.824370,0.000797,0.000942
S4,meta,58.700000,,1.0,1.927334,0.974673,158.900862,true,true,588,0.825043,0.000796,0.000940
S4,meta,58.900000,,1.0,1.927334,0.975467,159.218556,true,true,590,0.825715,0.000794,0.000938
S4,meta,59.100000,,1.0,1.927334,0.976260,159.535193,true,true,592,0.826386,0.000792,0.000936
S4,meta,59.300000,,1.0,1.927334,0.977051,159.850776,true,true,594,0.827056,0.000791,0.000934
S4,meta,59.500000,,1.0,1.927334,0.977840,160.165309,true,true,596,0.827724,0.000789,0.000933
S4,meta,59.700000,,1.0,1.927334,0.978628,160.478795,true,true,598,0.828391,0.000788,0.000931
S4,meta,59.900000,,1.0,1.927334,0.979414,160.791238,true,true,600,0.829056,0.000786,0.000929
